~,rssi,remrssi,x,y,z,home_x,home_y,home_z,dist
2024/7/17 18:53,88,76,-47.56104,-16.05024,7.261221,-35.86579,-37.35595,17.19548,26.25645926
2024/7/17 18:53,89,76,-46.362485,-15.96662,7.229865,-35.86579,-37.35595,17.19548,25.82629525
2024/7/17 18:53,90,77,-45.16393,-15.883,7.198509,-35.86579,-37.35595,17.19548,25.44567583
2024/7/17 18:53,90,78,-44.38663333,-15.85801667,7.200747,-35.86579,-37.35595,17.19548,25.19247103
2024/7/17 18:53,91,78,-43.60933667,-15.83303333,7.202985,-35.86579,-37.35595,17.19548,24.96093775
2024/7/17 18:53,92,79,-42.83204,-15.80805,7.205223,-35.86579,-37.35595,17.19548,24.75168415
2024/7/17 18:53,91,78,-41.87902,-15.740478,7.2097594,-35.86579,-37.35595,17.19548,24.55813879
2024/7/17 18:54,91,78,-40.926,-15.672906,7.2142958,-35.86579,-37.35595,17.19548,24.40049508
2024/7/17 18:54,91,78,-39.97298,-15.605334,7.2188322,-35.86579,-37.35595,17.19548,24.27945237
2024/7/17 18:54,92,80,-39.01996,-15.537762,7.2233686,-35.86579,-37.35595,17.19548,24.19555996
2024/7/17 18:54,92,80,-38.06694,-15.47019,7.227905,-35.86579,-37.35595,17.19548,24.14920503
2024/7/17 18:54,90,78,-37.378565,-15.98154,7.235456,-35.86579,-37.35595,17.19548,23.62955711
2024/7/17 18:54,88,75,-36.69019,-16.49289,7.243007,-35.86579,-37.35595,17.19548,23.13003733
2024/7/17 18:54,90,79,-36.60687,-17.567395,7.258074,-35.86579,-37.35595,17.19548,22.15599572
2024/7/17 18:54,90,79,-36.52355,-18.6419,7.273141,-35.86579,-37.35595,17.19548,21.1920062
2024/7/17 18:54,90,79,-36.50235,-19.35045,7.236683,-35.86579,-37.35595,17.19548,20.58593881
2024/7/17 18:54,91,80,-36.48115,-20.059,7.200225,-35.86579,-37.35595,17.19548,19.98670232
2024/7/17 18:54,92,80,-36.45995,-20.76755,7.163767,-35.86579,-37.35595,17.19548,19.39492991
2024/7/17 18:54,93,80,-36.37298,-21.931945,7.16322,-35.86579,-37.35595,17.19548,18.40661329
2024/7/17 18:54,94,81,-36.28601,-23.09634,7.162673,-35.86579,-37.35595,17.19548,17.44047816
2024/7/17 18:54,94,82,-36.24956,-23.88533667,7.170010667,-35.86579,-37.35595,17.19548,16.79627156
2024/7/17 18:54,95,82,-36.21311,-24.67433333,7.177348333,-35.86579,-37.35595,17.19548,16.16499287
2024/7/17 18:54,96,83,-36.17666,-25.46333,7.184686,-35.86579,-37.35595,17.19548,15.54821685
2024/7/17 18:54,97,84,-36.114065,-26.675735,7.20453,-35.86579,-37.35595,17.19548,14.62695166
2024/7/17 18:54,97,84,-36.05147,-27.88814,7.224374,-35.86579,-37.35595,17.19548,13.75124933
2024/7/17 18:54,97,84,-35.962545,-29.097905,7.226487,-35.86579,-37.35595,17.19548,12.94548146
2024/7/17 18:54,96,84,-35.87362,-30.30767,7.2286,-35.86579,-37.35595,17.19548,12.20725232
2024/7/17 18:54,91,82,-35.85765,-31.08011333,7.212078,-35.86579,-37.35595,17.19548,11.79213753
2024/7/17 18:54,88,76,-35.84168,-31.85255667,7.195556,-35.86579,-37.35595,17.19548,11.41430679
2024/7/17 18:54,93,80,-35.82571,-32.625,7.179034,-35.86579,-37.35595,17.19548,11.07757576
2024/7/17 18:54,99,86,-35.91556,-33.670665,7.157023,-35.86579,-37.35595,17.19548,10.69366268
2024/7/17 18:54,106,90,-36.00541,-34.71633,7.135012,-35.86579,-37.35595,17.19548,10.40192789
2024/7/17 18:54,94,89,-36.871838,-34.784692,7.1538018,-35.86579,-37.35595,17.19548,10.41435554
2024/7/17 18:54,87,74,-37.738266,-34.853054,7.1725916,-35.86579,-37.35595,17.19548,10.49899741
2024/7/17 18:54,81,64,-38.604694,-34.921416,7.1913814,-35.86579,-37.35595,17.19548,10.65413252
2024/7/17 18:54,85,71,-39.471122,-34.989778,7.2101712,-35.86579,-37.35595,17.19548,10.87674494
2024/7/17 18:54,85,73,-40.33755,-35.05814,7.228961,-35.86579,-37.35595,17.19548,11.16279845
2024/7/17 18:54,84,72,-41.49405,-35.102045,7.248479,-35.86579,-37.35595,17.19548,11.64904405
2024/7/17 18:54,82,70,-42.65055,-35.14595,7.267997,-35.86579,-37.35595,17.19548,12.22587367
2024/7/17 18:54,81,70,-43.5984825,-35.1495675,7.26547075,-35.86579,-37.35595,17.19548,12.77762657
2024/7/17 18:54,82,69,-44.546415,-35.153185,7.2629445,-35.86579,-37.35595,17.19548,13.37388072
2024/7/17 18:54,82,69,-45.4943475,-35.1568025,7.26041825,-35.86579,-37.35595,17.19548,14.00895504
2024/7/17 18:54,82,70,-46.44228,-35.16042,7.257892,-35.86579,-37.35595,17.19548,14.67781142
2024/7/17 18:54,81,70,-47.3902125,-35.1640375,7.25536575,-35.86579,-37.35595,17.19548,15.37604194
2024/7/17 18:54,81,69,-48.338145,-35.167655,7.2528395,-35.86579,-37.35595,17.19548,16.09982529
2024/7/17 18:54,80,69,-49.2860775,-35.1712725,7.25031325,-35.86579,-37.35595,17.19548,16.84586816
2024/7/17 18:54,78,67,-50.23401,-35.17489,7.247787,-35.86579,-37.35595,17.19548,17.61134193
2024/7/17 18:54,76,67,-51.1819425,-35.1785075,7.24526075,-35.86579,-37.35595,17.19548,18.39382087
2024/7/17 18:54,75,67,-52.129875,-35.182125,7.2427345,-35.86579,-37.35595,17.19548,19.19122505
2024/7/17 18:54,73,63,-53.0778075,-35.1857425,7.24020825,-35.86579,-37.35595,17.19548,20.00176949
2024/7/17 18:54,78,63,-54.02574,-35.18936,7.237682,-35.86579,-37.35595,17.19548,20.82391983
2024/7/17 18:54,79,71,-54.067924,-34.283019,7.2290212,-35.86579,-37.35595,17.19548,20.97834331
2024/7/17 18:54,76,71,-54.110108,-33.376678,7.2203604,-35.86579,-37.35595,17.19548,21.17056343
2024/7/17 18:54,73,71,-54.152292,-32.470337,7.2116996,-35.86579,-37.35595,17.19548,21.3995617
2024/7/17 18:54,70,71,-54.194476,-31.563996,7.2030388,-35.86579,-37.35595,17.19548,21.66417187
2024/7/17 18:54,70,71,-54.23666,-30.657655,7.194378,-35.86579,-37.35595,17.19548,21.96310683
2024/7/17 18:54,68,51,-54.278844,-29.751314,7.1857172,-35.86579,-37.35595,17.19548,22.29498593
2024/7/17 18:54,71,55,-54.321028,-28.844973,7.1770564,-35.86579,-37.35595,17.19548,22.6583616
2024/7/17 18:54,77,61,-54.363212,-27.938632,7.1683956,-35.86579,-37.35595,17.19548,23.05174441
2024/7/17 18:54,76,64,-54.405396,-27.032291,7.1597348,-35.86579,-37.35595,17.19548,23.47362579
2024/7/17 18:54,80,67,-54.44758,-26.12595,7.151074,-35.86579,-37.35595,17.19548,23.92249802
2024/7/17 18:54,82,69,-54.540205,-24.938815,7.1816085,-35.86579,-37.35595,17.19548,24.56006188
2024/7/17 18:54,83,69,-54.63283,-23.75168,7.212143,-35.86579,-37.35595,17.19548,25.23776873
2024/7/17 18:54,84,70,-54.689992,-22.789006,7.21903,-35.86579,-37.35595,17.19548,25.80844809
2024/7/17 18:54,84,70,-54.747154,-21.826332,7.225917,-35.86579,-37.35595,17.19548,26.40202886
2024/7/17 18:54,83,71,-54.804316,-20.863658,7.232804,-35.86579,-37.35595,17.19548,27.0170016
2024/7/17 18:54,83,71,-54.861478,-19.900984,7.239691,-35.86579,-37.35595,17.19548,27.65193909
2024/7/17 18:55,84,72,-54.91864,-18.93831,7.246578,-35.86579,-37.35595,17.19548,28.30549783
2024/7/17 18:55,84,72,-54.95194,-17.816585,7.230854,-35.86579,-37.35595,17.19548,29.07510409
2024/7/17 18:55,84,72,-54.98524,-16.69486,7.21513,-35.86579,-37.35595,17.19548,29.86706203
2024/7/17 18:55,83,72,-54.29932667,-16.56834333,7.209986667,-35.86579,-37.35595,17.19548,29.52337958
2024/7/17 18:55,91,75,-53.61341333,-16.44182667,7.204843333,-35.86579,-37.35595,17.19548,29.19231936
2024/7/17 18:55,90,77,-52.9275,-16.31531,7.1997,-35.86579,-37.35595,17.19548,28.87431553
2024/7/17 18:55,89,76,-51.831685,-16.299295,7.204951,-35.86579,-37.35595,17.19548,28.25072021
2024/7/17 18:55,89,77,-50.73587,-16.28328,7.210202,-35.86579,-37.35595,17.19548,27.65650876
2024/7/17 18:55,89,77,-49.96132333,-16.22985,7.203682667,-35.86579,-37.35595,17.19548,27.29161364
2024/7/17 18:55,90,78,-49.18677667,-16.17642,7.197163333,-35.86579,-37.35595,17.19548,26.94415545
2024/7/17 18:55,90,79,-48.41223,-16.12299,7.190644,-35.86579,-37.35595,17.19548,26.61481712
2024/7/17 18:55,90,78,-47.218385,-16.0645,7.190687,-35.86579,-37.35595,17.19548,26.12093297
2024/7/17 18:55,91,78,-46.02454,-16.00601,7.19073,-35.86579,-37.35595,17.19548,25.67323825
2024/7/17 18:55,92,79,-44.83876,-15.9404,7.1987375,-35.86579,-37.35595,17.19548,25.27992945
2024/7/17 18:55,90,79,-43.65298,-15.87479,7.206745,-35.86579,-37.35595,17.19548,24.93702849
2024/7/17 18:55,90,79,-42.84494333,-15.82319,7.194036667,-35.86579,-37.35595,17.19548,24.74666045
2024/7/17 18:55,90,79,-42.03690667,-15.77159,7.181328333,-35.86579,-37.35595,17.19548,24.5815075
2024/7/17 18:55,89,79,-41.22887,-15.71999,7.16862,-35.86579,-37.35595,17.19548,24.4420808
2024/7/17 18:55,89,79,-40.031795,-15.651735,7.229215,-35.86579,-37.35595,17.19548,24.24365864
2024/7/17 18:55,89,79,-38.83472,-15.58348,7.28981,-35.86579,-37.35595,17.19548,24.10347057
2024/7/17 18:55,86,75,-38.14800667,-15.66250667,7.264970667,-35.86579,-37.35595,17.19548,23.96724874
2024/7/17 18:55,87,75,-37.46129333,-15.74153333,7.240131333,-35.86579,-37.35595,17.19548,23.85031668
2024/7/17 18:55,85,73,-36.77458,-15.82056,7.215292,-35.86579,-37.35595,17.19548,23.75295927
2024/7/17 18:55,86,74,-36.64033,-16.83281,7.2044445,-35.86579,-37.35595,17.19548,22.83900125
2024/7/17 18:55,86,75,-36.50608,-17.84506,7.193597,-35.86579,-37.35595,17.19548,21.93450395
2024/7/17 18:55,88,75,-36.502895,-18.97444,7.189382,-35.86579,-37.35595,17.19548,20.93819022
2024/7/17 18:55,90,77,-36.49971,-20.10382,7.185167,-35.86579,-37.35595,17.19548,19.95605699
2024/7/17 18:55,91,77,-36.45546,-20.89703,7.206923333,-35.86579,-37.35595,17.19548,19.26175025
2024/7/17 18:55,91,79,-36.41121,-21.69024,7.228679667,-35.86579,-37.35595,17.19548,18.57549627
2024/7/17 18:55,94,81,-36.36696,-22.48345,7.250436,-35.86579,-37.35595,17.19548,17.89822136
2024/7/17 18:55,94,81,-36.30842,-23.66129,7.2414135,-35.86579,-37.35595,17.19548,16.93585173
2024/7/17 18:55,94,81,-36.24988,-24.83913,7.232391,-35.86579,-37.35595,17.19548,16.00254512
2024/7/17 18:55,96,84,-36.19151,-25.62271333,7.225024667,-35.86579,-37.35595,17.19548,15.40080893
2024/7/17 18:55,97,84,-36.13314,-26.40629667,7.217658333,-35.86579,-37.35595,17.19548,14.81631902
2024/7/17 18:55,97,85,-36.07477,-27.18988,7.210292,-35.86579,-37.35595,17.19548,14.25119754
2024/7/17 18:55,97,86,-36.02534,-28.39683,7.22272,-35.86579,-37.35595,17.19548,13.40698435
2024/7/17 18:55,97,86,-35.97591,-29.60378,7.235148,-35.86579,-37.35595,17.19548,12.62206321
2024/7/17 18:55,97,85,-35.856695,-30.820945,7.230502,-35.86579,-37.35595,17.19548,11.91667569
2024/7/17 18:55,97,85,-35.73748,-32.03811,7.225856,-35.86579,-37.35595,17.19548,11.29996851
2024/7/17 18:55,98,86,-35.70548,-32.81501667,7.213747333,-35.86579,-37.35595,17.19548,10.96725863
2024/7/17 18:55,101,90,-35.67348,-33.59192333,7.201638667,-35.86579,-37.35595,17.19548,10.6809056
2024/7/17 18:55,105,93,-35.64148,-34.36883,7.18953,-35.86579,-37.35595,17.19548,10.44472289
2024/7/17 18:55,101,94,-36.46832,-34.496222,7.1792576,-35.86579,-37.35595,17.19548,10.43387741
2024/7/17 18:55,84,81,-37.29516,-34.623614,7.1689852,-35.86579,-37.35595,17.19548,10.48996457
2024/7/17 18:55,79,75,-38.122,-34.751006,7.1587128,-35.86579,-37.35595,17.19548,10.61192314
2024/7/17 18:55,67,75,-38.94884,-34.878398,7.1484404,-35.86579,-37.35595,17.19548,10.79752129
2024/7/17 18:55,79,62,-39.77568,-35.00579,7.138168,-35.86579,-37.35595,17.19548,11.0435509
2024/7/17 18:55,82,62,-40.94031,-35.042,7.1477145,-35.86579,-37.35595,17.19548,11.49185404
2024/7/17 18:55,84,70,-42.10494,-35.07821,7.157261,-35.86579,-37.35595,17.19548,12.03664957
2024/7/17 18:55,80,68,-43.31677,-35.154065,7.244883,-35.86579,-37.35595,17.19548,12.62457053
