time,rssi,remrssi,x,y,z,home_x,home_y,home_z,dist
2025/3/11 16:03,145,136,-6.584588,3.304372,-9.18811,-1.575037,0.4258624,0.5764188,11.34581162
2025/3/11 16:03,160,163,-7.342247667,3.325916333,-9.211831,-1.575037,0.4258624,0.5764188,11.72522349
2025/3/11 16:03,159,163,-8.099907333,3.347460667,-9.235552,-1.575037,0.4258624,0.5764188,12.14019935
2025/3/11 16:03,156,163,-8.857567,3.369005,-9.259273,-1.575037,0.4258624,0.5764188,12.58722228
2025/3/11 16:03,149,154,-10.0057685,3.3676175,-9.286162,-1.575037,0.4258624,0.5764188,13.30419696
2025/3/11 16:03,139,147,-11.15397,3.36623,-9.313051,-1.575037,0.4258624,0.5764188,14.07847051
2025/3/11 16:03,129,140,-11.95382,3.400955333,-9.305534333,-1.575037,0.4258624,0.5764188,14.6363695
2025/3/11 16:03,128,137,-12.75367,3.435680667,-9.298017667,-1.575037,0.4258624,0.5764188,15.21595667
2025/3/11 16:03,130,134,-13.55352,3.470406,-9.290501,-1.575037,0.4258624,0.5764188,15.81484768
2025/3/11 16:03,131,137,-14.75062,3.5246245,-9.393587,-1.575037,0.4258624,0.5764188,16.81069093
2025/3/11 16:03,137,139,-15.94772,3.578843,-9.496673,-1.575037,0.4258624,0.5764188,17.8320633
2025/3/11 16:03,125,141,-17.08859,3.6394685,-9.396079,-1.575037,0.4258624,0.5764188,18.72026451
2025/3/11 16:03,127,134,-18.22946,3.700094,-9.295485,-1.575037,0.4258624,0.5764188,19.63529686
2025/3/11 16:03,117,133,-19.03919333,3.710364333,-9.336638333,-1.575037,0.4258624,0.5764188,20.34830241
2025/3/11 16:03,127,129,-19.84892667,3.720634667,-9.377791667,-1.575037,0.4258624,0.5764188,21.06838565
2025/3/11 16:03,121,128,-20.65866,3.730905,-9.418945,-1.575037,0.4258624,0.5764188,21.79484505
2025/3/11 16:03,125,133,-21.853965,3.821255,-9.4270585,-1.575037,0.4258624,0.5764188,22.86554547
2025/3/11 16:03,128,135,-23.04927,3.911605,-9.435172,-1.575037,0.4258624,0.5764188,23.94838272
2025/3/11 16:03,123,134,-23.76370667,4.033550667,-9.410341667,-1.575037,0.4258624,0.5764188,24.59853371
2025/3/11 16:03,127,128,-24.47814333,4.155496333,-9.385511333,-1.575037,0.4258624,0.5764188,25.25277214
2025/3/11 16:03,133,139,-25.19258,4.277442,-9.360681,-1.575037,0.4258624,0.5764188,25.91078839
2025/3/11 16:03,136,135,-25.40015,5.368903,-9.441642,-1.575037,0.4258624,0.5764188,26.31408752
2025/3/11 16:03,141,144,-25.60772,6.460364,-9.522603,-1.575037,0.4258624,0.5764188,26.75771483
2025/3/11 16:03,137,139,-25.589285,7.5733975,-9.467071,-1.575037,0.4258624,0.5764188,26.99338905
2025/3/11 16:03,136,142,-25.57085,8.686431,-9.411539,-1.575037,0.4258624,0.5764188,27.27261147
2025/3/11 16:03,138,146,-25.6204,9.481090667,-9.428953,-1.575037,0.4258624,0.5764188,27.57324982
2025/3/11 16:03,140,143,-25.66995,10.27575033,-9.446367,-1.575037,0.4258624,0.5764188,27.89339277
2025/3/11 16:03,137,142,-25.7195,11.07041,-9.463781,-1.575037,0.4258624,0.5764188,28.23237679
2025/3/11 16:03,132,140,-25.79359,12.26717,-9.454902,-1.575037,0.4258624,0.5764188,28.76425337
2025/3/11 16:03,129,134,-25.86768,13.46393,-9.446023,-1.575037,0.4258624,0.5764188,29.3355254
2025/3/11 16:03,136,141,-25.92284333,14.27147667,-9.400511333,-1.575037,0.4258624,0.5764188,29.73307657
2025/3/11 16:03,131,140,-25.97800667,15.07902333,-9.354999667,-1.575037,0.4258624,0.5764188,30.14719102
2025/3/11 16:03,136,139,-26.03317,15.88657,-9.309488,-1.575037,0.4258624,0.5764188,30.57719579
2025/3/11 16:03,131,138,-26.104065,17.078,-9.3782125,-1.575037,0.4258624,0.5764188,31.27397617
2025/3/11 16:03,130,134,-26.17496,18.26943,-9.446937,-1.575037,0.4258624,0.5764188,32.00026215
2025/3/11 16:03,127,136,-26.23202333,19.04884333,-9.448837,-1.575037,0.4258624,0.5764188,32.4851989
2025/3/11 16:03,125,133,-26.28908667,19.82825667,-9.450737,-1.575037,0.4258624,0.5764188,32.98152525
2025/3/11 16:03,124,133,-26.34615,20.60767,-9.452637,-1.575037,0.4258624,0.5764188,33.48873479
2025/3/11 16:03,127,134,-26.391705,21.80262,-9.469698,-1.575037,0.4258624,0.5764188,34.26014067
2025/3/11 16:03,127,134,-26.43726,22.99757,-9.486759,-1.575037,0.4258624,0.5764188,35.05537996
2025/3/11 16:04,132,136,-25.501235,23.22439,-9.4250165,-1.575037,0.4258624,0.5764188,34.52918359
2025/3/11 16:04,150,150,-24.56521,23.45121,-9.363274,-1.575037,0.4258624,0.5764188,34.02223067
2025/3/11 16:04,148,153,-23.78754333,23.53491,-9.407793,-1.575037,0.4258624,0.5764188,33.57242922
2025/3/11 16:04,149,153,-23.00987667,23.61861,-9.452312,-1.575037,0.4258624,0.5764188,33.13504692
2025/3/11 16:04,149,154,-22.23221,23.70231,-9.496831,-1.575037,0.4258624,0.5764188,32.71058194
2025/3/11 16:04,144,150,-21.08563,23.74191,-9.4601285,-1.575037,0.4258624,0.5764188,32.01614587
2025/3/11 16:04,144,149,-19.93905,23.78151,-9.423426,-1.575037,0.4258624,0.5764188,31.34836749
2025/3/11 16:04,141,148,-18.73394,23.870135,-9.391885,-1.575037,0.4258624,0.5764188,30.71528855
2025/3/11 16:04,137,146,-17.52883,23.95876,-9.360344,-1.575037,0.4258624,0.5764188,30.1174374
2025/3/11 16:04,140,137,-16.71745333,24.00661667,-9.355278333,-1.575037,0.4258624,0.5764188,29.73185753
2025/3/11 16:04,136,137,-15.90607667,24.05447333,-9.350212667,-1.575037,0.4258624,0.5764188,29.36371851
2025/3/11 16:04,138,135,-15.0947,24.10233,-9.345147,-1.575037,0.4258624,0.5764188,29.01368425
2025/3/11 16:04,133,136,-13.93271,24.183055,-9.356621,-1.575037,0.4258624,0.5764188,28.56189003
2025/3/11 16:04,133,142,-12.77072,24.26378,-9.368095,-1.575037,0.4258624,0.5764188,28.15107437
2025/3/11 16:04,122,137,-11.95401,24.33045333,-9.369938333,-1.575037,0.4258624,0.5764188,27.89413143
2025/3/11 16:04,122,120,-11.1373,24.39712667,-9.371781667,-1.575037,0.4258624,0.5764188,27.65908669
2025/3/11 16:04,124,125,-10.32059,24.4638,-9.373625,-1.575037,0.4258624,0.5764188,27.44650275
2025/3/11 16:04,124,134,-9.2803885,24.391195,-9.4455975,-1.575037,0.4258624,0.5764188,27.09521026
2025/3/11 16:04,125,126,-8.240187,24.31859,-9.51757,-1.575037,0.4258624,0.5764188,26.7801282
2025/3/11 16:04,129,132,-8.1395805,23.234805,-9.4671485,-1.575037,0.4258624,0.5764188,25.77235608
2025/3/11 16:04,129,133,-8.038974,22.15102,-9.416727,-1.575037,0.4258624,0.5764188,24.77151423
